what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421692948962
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1421692948978
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421692950478
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421692952619
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421692983463
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1421692983528
closed,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1421692983528
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1421692984888
closed,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1421692984888
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1421692986035
closed,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1421692986035
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1421692987332
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421692992025
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421693000798
opened,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1421693003011
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1421693003043
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421693005371
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421693006231
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.line",1421693006246
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1421693013045
closed,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1421693013045
opened,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1421693015733
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1421693015764
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421693016936
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421693017796
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.line",1421693017812
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1421693027391
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421693029827
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421693036606
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1421693038813
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1421693043924
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1421693048143
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421693049062
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421693050763
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421693057983
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421693061526
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1421693074081
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1421693076582
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1421693080223
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1421693087517
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1421693088517
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1421693088829
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1421693099862
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1421693101442
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421693102614
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421693105244
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1421693106588
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1421693107947
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421693108938
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421693117391
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1421693127616
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1421693130611
